product_id,product_category,date,cost_price,selling_price,competitor_price,units_sold,inventory,promotion,season,day_of_week,customer_rating,demand,revenue,profit
P-0065,Grocery,2023-01-01 00:00:00.000000000,19.78,31.6,28.27,36,157,0,Winter,Sunday,4.06,36,1137.6,425.52
P-0041,Home,2023-01-01 03:30:16.923384676,86.77,164.36,149.54,29,101,1,Winter,Sunday,4.44,29,4766.44,2250.11
P-0068,Sports,2023-01-01 07:00:33.846769353,83.48,93.11,104.83,39,220,1,Winter,Sunday,3.69,39,3631.29,375.57
P-0005,Grocery,2023-01-01 10:30:50.770154030,21.59,32.4,32.17,46,114,0,Winter,Sunday,4.53,46,1490.4,497.26
P-0076,Electronics,2023-01-01 14:01:07.693538707,200.65,317.85,354.86,21,91,0,Winter,Sunday,4.4,21,6674.85,2461.2
P-0003,Sports,2023-01-01 17:31:24.616923384,85.65,146.11,132.62,27,182,0,Winter,Sunday,3.74,27,3944.97,1632.42
P-0020,Grocery,2023-01-01 21:01:41.540308061,22.66,33.46,33.94,27,27,0,Winter,Sunday,4.34,27,903.42,291.6
P-0073,Grocery,2023-01-02 00:31:58.463692738,24.87,34.67,35.36,54,107,0,Winter,Monday,4.59,54,1872.18,529.2
P-0035,Electronics,2023-01-02 04:02:15.387077415,263.52,321.58,340.11,16,65,0,Winter,Monday,4.14,16,5145.28,928.96
P-0021,Beauty,2023-01-02 07:32:32.310462092,53.49,74.68,73.47,25,106,0,Winter,Monday,3.73,25,1867.0,529.75
P-0089,Home,2023-01-02 11:02:49.233846769,112.93,134.27,146.78,31,124,0,Winter,Monday,4.18,31,4162.37,661.54
P-0061,Sports,2023-01-02 14:33:06.157231446,87.16,123.27,115.02,28,30,0,Winter,Monday,4.35,28,3451.56,1011.08
P-0029,Grocery,2023-01-02 18:03:23.080616123,18.37,24.56,24.61,36,226,0,Winter,Monday,3.73,36,884.16,222.84
P-0073,Grocery,2023-01-02 21:33:40.004000800,19.77,28.45,28.0,43,117,0,Winter,Monday,3.65,43,1223.35,373.24
P-0014,Beauty,2023-01-03 01:03:56.927385477,47.66,64.76,59.86,24,102,0,Winter,Tuesday,4.33,24,1554.24,410.4
P-0050,Home,2023-01-03 04:34:13.850770154,82.01,134.39,145.37,32,51,0,Winter,Tuesday,4.47,32,4300.48,1676.16
P-0019,Beauty,2023-01-03 08:04:30.774154830,54.21,65.88,71.45,31,258,0,Winter,Tuesday,5.0,31,2042.28,361.77
P-0066,Electronics,2023-01-03 11:34:47.697539507,230.65,330.52,336.92,11,224,0,Winter,Tuesday,4.4,11,3635.72,1098.57
P-0028,Grocery,2023-01-03 15:05:04.620924184,28.82,53.4,49.97,40,133,0,Winter,Tuesday,3.56,40,2136.0,983.2
P-0025,Grocery,2023-01-03 18:35:21.544308861,25.18,29.46,32.95,51,96,1,Winter,Tuesday,5.0,51,1502.46,218.28
P-0026,Grocery,2023-01-03 22:05:38.467693538,22.29,36.18,33.79,32,129,0,Winter,Tuesday,4.57,32,1157.76,444.48
P-0082,Home,2023-01-04 01:35:55.391078215,63.35,108.64,108.62,18,250,0,Winter,Wednesday,3.2,18,1955.52,815.22
P-0087,Sports,2023-01-04 05:06:12.314462892,80.9,127.78,125.91,25,69,0,Winter,Wednesday,3.64,25,3194.5,1172.0
P-0021,Sports,2023-01-04 08:36:29.237847569,80.33,111.41,109.71,23,182,0,Winter,Wednesday,3.88,23,2562.43,714.84
P-0016,Grocery,2023-01-04 12:06:46.161232246,24.7,36.52,40.87,57,236,0,Winter,Wednesday,4.48,57,2081.64,673.74
P-0060,Electronics,2023-01-04 15:37:03.084616923,280.77,428.78,456.18,18,200,0,Winter,Wednesday,3.03,18,7718.04,2664.18
P-0065,Beauty,2023-01-04 19:07:20.008001600,65.92,101.38,95.53,28,228,0,Winter,Wednesday,4.05,28,2838.64,992.88
P-0084,Electronics,2023-01-04 22:37:36.931386277,236.38,295.14,301.49,30,247,1,Winter,Wednesday,4.45,30,8854.2,1762.8
P-0083,Electronics,2023-01-05 02:07:53.854770954,177.67,226.1,222.86,25,29,1,Winter,Thursday,2.82,25,5652.5,1210.75
P-0080,Grocery,2023-01-05 05:38:10.778155631,22.03,41.55,37.54,35,73,0,Winter,Thursday,4.44,35,1454.25,683.2
P-0005,Grocery,2023-01-05 09:08:27.701540308,23.64,30.06,33.73,44,50,0,Winter,Thursday,4.49,44,1322.64,282.48
P-0006,Sports,2023-01-05 12:38:44.624924985,70.07,91.78,92.9,34,153,1,Winter,Thursday,3.72,34,3120.52,738.14
P-0019,Home,2023-01-05 16:09:01.548309661,102.61,152.29,157.53,20,114,0,Winter,Thursday,3.58,20,3045.8,993.6
P-0037,Home,2023-01-05 19:39:18.471694338,100.43,159.74,176.4,24,24,1,Winter,Thursday,3.71,24,3833.76,1423.44
P-0074,Beauty,2023-01-05 23:09:35.395079015,45.42,63.16,56.99,25,151,1,Winter,Thursday,2.9,25,1579.0,443.5
P-0086,Electronics,2023-01-06 02:39:52.318463692,250.21,355.98,320.49,14,39,0,Winter,Friday,3.95,14,4983.72,1480.78
P-0072,Electronics,2023-01-06 06:10:09.241848369,213.44,301.47,315.76,21,114,0,Winter,Friday,4.2,21,6330.87,1848.63
P-0086,Beauty,2023-01-06 09:40:26.165233046,39.78,71.43,64.51,20,104,0,Winter,Friday,3.55,20,1428.6,633.0
P-0038,Home,2023-01-06 13:10:43.088617723,94.22,126.56,142.45,30,233,1,Winter,Friday,4.54,30,3796.8,970.2
P-0064,Grocery,2023-01-06 16:41:00.012002400,25.08,48.78,43.73,37,182,0,Winter,Friday,4.15,37,1804.86,876.9
P-0014,Home,2023-01-06 20:11:16.935387077,109.79,151.18,139.9,13,167,0,Winter,Friday,4.22,13,1965.34,538.07
P-0011,Grocery,2023-01-06 23:41:33.858771754,22.7,30.38,32.62,35,218,0,Winter,Friday,3.92,35,1063.3,268.8
P-0083,Grocery,2023-01-07 03:11:50.782156431,27.18,40.17,39.23,48,59,1,Winter,Saturday,4.43,48,1928.16,623.52
P-0041,Home,2023-01-07 06:42:07.705541108,97.84,150.67,140.6,35,77,1,Winter,Saturday,4.68,35,5273.45,1849.05
P-0073,Grocery,2023-01-07 10:12:24.628925785,18.95,27.52,28.77,47,199,0,Winter,Saturday,3.92,47,1293.44,402.79
P-0097,Grocery,2023-01-07 13:42:41.552310462,18.57,30.19,31.29,48,198,0,Winter,Saturday,4.44,48,1449.12,557.76
P-0058,Home,2023-01-07 17:12:58.475695139,112.06,164.61,159.67,20,20,0,Winter,Saturday,4.45,20,3292.2,1051.0
P-0011,Home,2023-01-07 20:43:15.399079816,113.18,171.91,187.82,54,69,1,Winter,Saturday,4.29,54,9283.14,3171.42
P-0066,Grocery,2023-01-08 00:13:32.322464492,25.24,30.5,33.58,51,70,0,Winter,Sunday,4.85,51,1555.5,268.26
P-0081,Electronics,2023-01-08 03:43:49.245849169,260.26,381.24,405.59,16,16,0,Winter,Sunday,3.77,16,6099.84,1935.68
P-0028,Electronics,2023-01-08 07:14:06.169233846,245.5,378.22,357.52,26,177,1,Winter,Sunday,3.91,26,9833.72,3450.72
P-0042,Electronics,2023-01-08 10:44:23.092618523,232.97,348.76,360.3,19,28,0,Winter,Sunday,3.75,19,6626.44,2200.01
P-0063,Grocery,2023-01-08 14:14:40.016003200,20.5,26.89,26.84,48,221,0,Winter,Sunday,4.43,48,1290.72,306.72
P-0075,Grocery,2023-01-08 17:44:56.939387877,30.65,50.41,54.39,53,158,1,Winter,Sunday,3.98,53,2671.73,1047.28
P-0019,Grocery,2023-01-08 21:15:13.862772554,26.06,42.22,45.56,51,201,0,Winter,Sunday,3.79,51,2153.22,824.16
P-0006,Grocery,2023-01-09 00:45:30.786157231,22.52,39.78,38.39,43,136,1,Winter,Monday,4.85,43,1710.54,742.18
