feature,importance
num__selling_price,0.5411695750962312
num__month,0.10243084112611803
num__promotion,0.08162485348324935
cat__day_of_week_Saturday,0.04191080424237896
cat__product_category_HOBBIES,0.03980469550303279
cat__product_category_FOODS,0.03513093982992875
cat__day_of_week_Thursday,0.03085022463731502
cat__day_of_week_Monday,0.027468821702501506
num__weekend,0.0172085343591724
cat__day_of_week_Wednesday,0.014206415088885786
cat__day_of_week_Tuesday,0.013606480124796757
cat__day_of_week_Friday,0.01306252894102018
cat__season_Spring,0.011986436037280935
cat__day_of_week_Sunday,0.009161635776585752
cat__season_Winter,0.007899105199302486
