Date,Weekly_Sales
2010-01-10,1827440.43
2010-01-10,495692.19
2010-01-10,905987.17
2010-01-10,1855703.66
2010-01-10,445475.3
2010-01-10,690007.76
2010-01-10,224294.39
2010-01-10,566945.95
2010-01-10,865709.11
2010-01-10,948977.5
2010-01-10,529877.93
2010-01-10,923221.52
2010-01-10,422169.47
2010-01-10,358784.1
2010-01-10,1765584.48
2010-01-10,804105.49
2010-01-10,448998.73
2010-01-10,1215273.2
2010-01-10,829207.27
2010-01-10,474698.01
2010-01-10,657108.77
2010-01-10,360256.58
2010-01-10,891152.33
2010-01-10,1933719.21
2010-01-10,463977.54
2010-01-10,1182490.46
2010-01-10,771065.21
2010-01-10,677158.39
2010-01-10,1061089.56
2010-01-10,1842821.02
2010-01-10,658640.14
2010-01-10,283178.12
2010-01-10,1543532.83
2010-01-10,1109216.35
2010-01-10,1129909.44
2010-01-10,1328468.89
2010-01-10,1453329.5
2010-01-10,300152.45
2010-01-10,1219583.91
2010-01-10,1213981.64
2010-01-10,1203080.41
2010-01-10,481523.93
2010-01-10,850936.26
2010-01-10,1379456.3
2010-01-10,1645892.97
2010-02-04,979428.66
2010-02-04,331406.0
2010-02-04,1441559.4
2010-02-04,286197.5
2010-02-04,2495630.51
2010-02-04,2405395.22
2010-02-04,2138651.97
2010-02-04,650102.8
2010-02-04,1770333.9
2010-02-04,1254107.84
2010-02-04,1131732.94
2010-02-04,1446210.26
2010-02-04,1979247.12
2010-02-04,914500.91
2010-02-04,505907.41
2010-02-04,1011822.3
2010-02-04,599629.25
2010-02-04,1357600.68
2010-02-04,753664.12
2010-02-04,1168826.39
2010-02-04,457884.06
2010-02-04,540189.7
2010-02-04,2142482.14
2010-02-04,423294.4
2010-02-04,1478321.26
2010-02-04,274634.52
2010-02-04,1463942.62
2010-02-04,1642970.27
2010-02-04,1556627.62
2010-02-04,1041202.13
2010-02-04,368929.55
2010-02-04,2066187.72
2010-02-04,718470.71
2010-02-04,545206.32
2010-02-04,1177340.99
2010-02-04,435972.82
2010-02-04,1189556.47
2010-02-04,848521.17
2010-02-04,877235.96
2010-02-04,2053952.97
2010-02-04,490503.69
2010-02-04,822486.37
2010-02-04,561145.14
2010-02-04,1594968.28
2010-02-04,1029849.2
2010-02-07,498292.53
2010-02-07,575570.77
2010-02-07,1563387.94
2010-02-07,381151.72
2010-02-07,958875.37
2010-02-07,1352547.7
2010-02-07,507168.8
2010-02-07,1087578.78
2010-02-07,1245827.08
2010-02-07,800147.84
2010-02-07,1759777.25
2010-02-07,951957.31
2010-02-07,1078455.48
2010-02-07,450337.47
2010-02-07,528832.54
2010-02-07,1311704.92
2010-02-07,1257928.35
2010-02-07,610641.42
2010-02-07,361181.48
2010-02-07,267495.76
2010-02-07,1273279.79
2010-02-07,2018314.71
2010-02-07,434252.15
2010-02-07,711470.8
2010-02-07,852333.75
2010-02-07,919229.36
2010-02-07,759407.87
2010-02-07,2003940.64
2010-02-07,1549113.18
2010-02-07,1399960.15
2010-02-07,305993.27
2010-02-07,300628.19
2010-02-07,709337.11
2010-02-07,1187988.64
2010-02-07,667353.79
2010-02-07,1845893.87
2010-02-07,1302600.14
2010-02-07,2334788.42
2010-02-07,2024554.1
2010-02-07,581473.55
2010-02-07,2143676.77
2010-02-07,1120259.71
2010-02-07,1549018.68
2010-02-07,1881337.21
2010-02-07,1492418.14
2010-03-09,1510925.32
2010-03-09,948660.79
2010-03-09,1540163.53
2010-03-09,1303914.27
2010-03-09,1623519.64
2010-03-09,899036.47
2010-03-09,1935857.58
2010-03-09,1095932.51
2010-03-09,511049.06
2010-03-09,1302047.48
2010-03-09,685700.08
2010-03-09,1075758.55
2010-03-09,524658.06
2010-03-09,542087.89
2010-03-09,964356.74
2010-03-09,1037549.71
2010-03-09,1074535.88
2010-03-09,377096.55
2010-03-09,689326.91
2010-03-09,579272.38
2010-03-09,510427.53
2010-03-09,1366381.6
2010-03-09,1766331.45
2010-03-09,976453.34
2010-03-09,1908110.9
2010-03-09,1345167.61
2010-03-09,638647.21
2010-03-09,2182563.66
2010-03-09,1523410.71
2010-03-09,295880.12
2010-03-09,323798.0
2010-03-09,1904608.09
2010-03-09,1223355.5
2010-03-09,834373.73
2010-03-09,727772.8
2010-03-09,431294.45
2010-03-09,1187359.77
2010-03-09,237405.82
2010-03-09,532765.05
2010-03-09,461548.98
2010-03-09,1405119.23
2010-03-09,790144.7
2010-03-09,2121561.41
2010-03-09,1911852.58
2010-03-09,366473.97
2010-03-12,578164.82
2010-03-12,344490.88
2010-03-12,1000582.06
2010-03-12,829210.73
2010-03-12,209986.25
2010-03-12,1615987.96
2010-03-12,1230514.58
2010-03-12,2251206.64
2010-03-12,952766.93
2010-03-12,1211026.13
2010-03-12,1001512.21
2010-03-12,360266.09
2010-03-12,1220115.75
2010-03-12,1338716.37
2010-03-12,2102530.17
2010-03-12,642678.53
2010-03-12,557543.62
2010-03-12,508213.14
2010-03-12,1380522.64
2010-03-12,2258489.63
2010-03-12,1447916.29
2010-03-12,1413302.7
2010-03-12,2015781.27
2010-03-12,351925.36
2010-03-12,2083379.89
2010-03-12,926573.81
2010-03-12,754134.95
2010-03-12,264214.12
2010-03-12,552811.62
2010-03-12,1016143.64
2010-03-12,879244.9
2010-03-12,2416051.17
2010-03-12,512260.59
2010-03-12,1548033.78
2010-03-12,885572.96
2010-03-12,1884343.67
2010-03-12,476420.77
2010-03-12,982598.88
2010-03-12,1677067.24
2010-03-12,1431910.98
2010-03-12,1069533.17
2010-03-12,407112.22
2010-03-12,1200892.56
2010-03-12,500250.8
2010-03-12,1617025.41
2010-04-06,1282378.71
2010-04-06,837548.62
2010-04-06,556046.12
2010-04-06,682012.53
2010-04-06,2203619.35
2010-04-06,876902.87
2010-04-06,1271311.76
2010-04-06,693192.5
2010-04-06,2073102.59
2010-04-06,1049357.36
2010-04-06,1003202.66
